id,period,gender,age_group,brand,ratio,timestamp
20176,2024-01-04,female,40대,포카리스웨트,30.4,2025-03-24 12:29:23.227681
22420,2024-01-04,female,50대,링티,43.84,2025-03-24 12:29:23.227681
22419,2024-01-04,female,50대,토레타,4.93,2025-03-24 12:29:23.227681
22417,2024-01-04,female,50대,게토레이,9.85,2025-03-24 12:29:23.227681
22418,2024-01-04,female,50대,파워에이드,10.34,2025-03-24 12:29:23.227681
22416,2024-01-04,female,50대,포카리스웨트,31.03,2025-03-24 12:29:23.227681
24660,2024-01-04,female,60대 이상,링티,36.49,2025-03-24 12:29:23.227681
24659,2024-01-04,female,60대 이상,토레타,0.0,2025-03-24 12:29:23.227681
24657,2024-01-04,female,60대 이상,게토레이,2.7,2025-03-24 12:29:23.227681
24658,2024-01-04,female,60대 이상,파워에이드,8.11,2025-03-24 12:29:23.227681
24656,2024-01-04,female,60대 이상,포카리스웨트,52.7,2025-03-24 12:29:23.227681
20,2024-01-04,male,10대,링티,15.56,2025-03-24 12:29:23.227681
19,2024-01-04,male,10대,토레타,11.11,2025-03-24 12:29:23.227681
17,2024-01-04,male,10대,게토레이,17.78,2025-03-24 12:29:23.227681
18,2024-01-04,male,10대,파워에이드,15.56,2025-03-24 12:29:23.227681
16,2024-01-04,male,10대,포카리스웨트,40.0,2025-03-24 12:29:23.227681
2260,2024-01-04,male,20대,링티,44.08,2025-03-24 12:29:23.227681
2259,2024-01-04,male,20대,토레타,8.16,2025-03-24 12:29:23.227681
2257,2024-01-04,male,20대,게토레이,8.98,2025-03-24 12:29:23.227681
2258,2024-01-04,male,20대,파워에이드,11.02,2025-03-24 12:29:23.227681
2256,2024-01-04,male,20대,포카리스웨트,27.76,2025-03-24 12:29:23.227681
4500,2024-01-04,male,30대,링티,43.19,2025-03-24 12:29:23.227681
4499,2024-01-04,male,30대,토레타,13.15,2025-03-24 12:29:23.227681
4497,2024-01-04,male,30대,게토레이,8.92,2025-03-24 12:29:23.227681
4498,2024-01-04,male,30대,파워에이드,9.15,2025-03-24 12:29:23.227681
4496,2024-01-04,male,30대,포카리스웨트,25.59,2025-03-24 12:29:23.227681
6740,2024-01-04,male,40대,링티,33.16,2025-03-24 12:29:23.227681
6739,2024-01-04,male,40대,토레타,6.58,2025-03-24 12:29:23.227681
6737,2024-01-04,male,40대,게토레이,8.95,2025-03-24 12:29:23.227681
6738,2024-01-04,male,40대,파워에이드,13.16,2025-03-24 12:29:23.227681
6736,2024-01-04,male,40대,포카리스웨트,38.16,2025-03-24 12:29:23.227681
8980,2024-01-04,male,50대,링티,34.67,2025-03-24 12:29:23.227681
8979,2024-01-04,male,50대,토레타,5.33,2025-03-24 12:29:23.227681
8977,2024-01-04,male,50대,게토레이,12.67,2025-03-24 12:29:23.227681
8978,2024-01-04,male,50대,파워에이드,6.67,2025-03-24 12:29:23.227681
8976,2024-01-04,male,50대,포카리스웨트,40.67,2025-03-24 12:29:23.227681
11220,2024-01-04,male,60대 이상,링티,30.36,2025-03-24 12:29:23.227681
11219,2024-01-04,male,60대 이상,토레타,3.57,2025-03-24 12:29:23.227681
11217,2024-01-04,male,60대 이상,게토레이,10.71,2025-03-24 12:29:23.227681
11218,2024-01-04,male,60대 이상,파워에이드,10.71,2025-03-24 12:29:23.227681
11216,2024-01-04,male,60대 이상,포카리스웨트,44.64,2025-03-24 12:29:23.227681
13465,2024-01-05,female,10대,링티,18.99,2025-03-24 12:29:23.227681
13464,2024-01-05,female,10대,토레타,10.13,2025-03-24 12:29:23.227681
13462,2024-01-05,female,10대,게토레이,13.92,2025-03-24 12:29:23.227681
13463,2024-01-05,female,10대,파워에이드,12.66,2025-03-24 12:29:23.227681
13461,2024-01-05,female,10대,포카리스웨트,44.3,2025-03-24 12:29:23.227681
15705,2024-01-05,female,20대,링티,41.31,2025-03-24 12:29:23.227681
15704,2024-01-05,female,20대,토레타,9.69,2025-03-24 12:29:23.227681
15702,2024-01-05,female,20대,게토레이,5.7,2025-03-24 12:29:23.227681
15703,2024-01-05,female,20대,파워에이드,8.83,2025-03-24 12:29:23.227681
15701,2024-01-05,female,20대,포카리스웨트,34.47,2025-03-24 12:29:23.227681
17945,2024-01-05,female,30대,링티,49.69,2025-03-24 12:29:23.227681
